antenna	0	Antenna3	1666.6666666666667	800.0
antenna	1	Antenna3	3333.3333333333335	800.0
antenna	2	Antenna3	1666.6666666666667	1600.0
antenna	3	Antenna3	3333.3333333333335	1600.0
antenna	4	Antenna3	1666.6666666666667	2400.0
antenna	5	Antenna3	3333.3333333333335	2400.0
antenna	6	Antenna3	2500.0	3200.0
ue	0	UE1-App1	262.76563065587067	349.65952341300664	Streaming-4K
ue	1	UE1-App1	2036.8015765883213	431.6932395188178	Streaming-4K
ue	2	UE1-App1	4506.093190880521	153.5765107431873	Streaming-4K
ue	3	UE1-App1	2681.4739981296007	1329.4585963402096	Streaming-4K
ue	4	UE1-App1	4260.581008027914	639.4899244911577	Streaming-4K
ue	5	UE1-App1	1686.7460688892684	1335.8517821211922	Streaming-4K
ue	6	UE1-App1	1226.571599235538	7.6805437633121985	Streaming-4K
ue	7	UE1-App1	2181.9426912826766	351.36638550194107	Streaming-4K
ue	8	UE1-App1	2988.3997229754646	280.43796887527054	Streaming-4K
ue	9	UE1-App1	1577.9794097055806	1793.838511519468	Streaming-4K
ue	10	UE1-App1	4527.0878627702095	371.96548095260187	Streaming-4K
ue	11	UE1-App1	711.7331470930739	3160.4973055908476	Streaming-4K
ue	12	UE1-App1	107.15863811012923	3644.6910418131924	Streaming-4K
ue	13	UE1-App1	2867.467020318955	1062.0214993409916	Streaming-4K
ue	14	UE1-App1	4189.350383331477	3075.410195172454	Streaming-4K
ue	15	UE1-App1	1717.967328621667	3206.18486857684	Streaming-4K
ue	16	UE1-App1	1035.105490859891	2436.0012022360224	Streaming-4K
ue	17	UE1-App1	2635.847685854922	3237.5447600505754	Streaming-4K
ue	18	UE1-App1	1577.0004979277246	1593.554367720129	Streaming-4K
ue	19	UE1-App1	3846.6261704797053	2051.495783322396	Streaming-4K
ue	20	UE1-App1	3424.501256086369	2553.77470395769	Streaming-4K
ue	21	UE1-App1	3333.621497734832	3560.5041835770726	Streaming-4K
ue	22	UE1-App1	2431.1962142476764	2674.212417390685	Streaming-4K
ue	23	UE1-App1	1873.233637480594	128.33338565766633	Streaming-4K
ue	24	UE1-App1	3771.111686122502	726.6781987442484	Streaming-4K
ue	25	UE1-App1	4101.130731984721	3654.670001545054	Streaming-4K
ue	26	UE1-App1	3290.7127128479956	681.337423795962	Streaming-4K
ue	27	UE1-App1	1685.243847805739	1565.3820349781397	Streaming-4K
ue	28	UE1-App1	367.3805998403091	1827.6115137356132	Streaming-4K
ue	29	UE1-App1	2866.2694040381466	1345.0882911400263	Streaming-4K
ue	30	UE1-App1	946.1202860208043	353.5410224093781	Streaming-4K
ue	31	UE1-App1	3141.9592961312323	52.303607901200905	Streaming-4K
ue	32	UE1-App1	1760.2165018079074	917.2899281566566	Streaming-4K
ue	33	UE1-App1	2660.455455918141	2894.9297411258462	Streaming-4K
ue	34	UE1-App1	4545.85722490826	2555.5645561331626	Streaming-4K
ue	35	UE1-App1	4958.973705659826	3856.272630043223	Streaming-4K
ue	36	UE1-App1	3150.323557911504	934.2593631605522	Streaming-4K
ue	37	UE1-App1	2419.57360173309	711.1813325650462	Streaming-4K
ue	38	UE1-App1	4959.79690619829	1778.5551806761475	Streaming-4K
ue	39	UE1-App1	3758.499139979623	177.47529416976926	Streaming-4K
ue	40	UE2-App2	674.5032755825313	773.5147031993723	Controle-Drone
ue	41	UE2-App2	1282.555374135416	1408.838074268255	Controle-Drone
ue	42	UE2-App2	1360.3773317814312	1737.6400658670022	Controle-Drone
ue	43	UE2-App2	2102.366226358535	435.374717091925	Controle-Drone
